Name;Type;Literature;Genes;;
WIRTH_Pituitary gland;H.Tiss;Tissue SOM;ENSG00000213218,ENSG00000213218,ENSG00000135346,ENSG00000115138,ENSG00000213218,ENSG00000136487,ENSG00000213218,ENSG00000184302,ENSG00000213218,ENSG00000213218,ENSG00000106128,ENSG00000136488,ENSG00000213218,ENSG00000213218,ENSG00000213218,ENSG00000213218;;
WIRTH_Pancreas;H.Tiss;Tissue SOM;ENSG00000071537,ENSG00000134013,ENSG00000153002,ENSG00000091704,ENSG00000204983,ENSG00000172023,ENSG00000175535,ENSG00000168928,ENSG00000137392,ENSG00000219073,ENSG00000158516,ENSG00000162438,ENSG00000170890,ENSG00000115263,ENSG00000142615,ENSG00000254647,ENSG00000187021,ENSG00000103375,ENSG00000121351,ENSG00000215704,ENSG00000076356,ENSG00000170827,ENSG00000003989,ENSG00000114204,ENSG00000204787,ENSG00000116833,ENSG00000160113,ENSG00000142789,ENSG00000108849,ENSG00000080493,ENSG00000165862,ENSG00000169347,ENSG00000141086,ENSG00000001626,ENSG00000242115,ENSG00000163499,ENSG00000068137,ENSG00000138161,ENSG00000176371,ENSG00000145217,ENSG00000120498,ENSG00000124232,ENSG00000168124,ENSG00000174562,ENSG00000122970,ENSG00000138472,ENSG00000179751,ENSG00000256969,ENSG00000143954,ENSG00000177291,ENSG00000142408,ENSG00000149735,ENSG00000228536,ENSG00000162877,ENSG00000164756,ENSG00000135835,ENSG00000140015,ENSG00000142459,ENSG00000250986,ENSG00000139044,ENSG00000162512,ENSG00000182223,ENSG00000259826,ENSG00000185176,ENSG00000231013,ENSG00000147509,ENSG00000121898;;
WIRTH_Immune system;H.Tiss;Tissue SOM;ENSG00000115415,ENSG00000049541,ENSG00000143384,ENSG00000215301,ENSG00000111348,ENSG00000114978,ENSG00000166888,ENSG00000154473,ENSG00000123136,ENSG00000162511,ENSG00000066044,ENSG00000159658,ENSG00000122862,ENSG00000213024,ENSG00000115935,ENSG00000164543,ENSG00000103222,ENSG00000011007,ENSG00000163131,ENSG00000180353,ENSG00000143390,ENSG00000051523,ENSG00000072786,ENSG00000076928,ENSG00000105329,ENSG00000162613,ENSG00000110713,ENSG00000113368,ENSG00000165527,ENSG00000168918,ENSG00000143033,ENSG00000106462,ENSG00000143119,ENSG00000115956,ENSG00000102034,ENSG00000103064,ENSG00000112343,ENSG00000155926,ENSG00000171608,ENSG00000146232,ENSG00000071994,ENSG00000129277,ENSG00000147168,ENSG00000117091,ENSG00000100060,ENSG00000104894,ENSG00000020633,ENSG00000239713,ENSG00000111880,ENSG00000130755,ENSG00000151702,ENSG00000006634,ENSG00000213654,ENSG00000102096,ENSG00000141682,ENSG00000118260,ENSG00000172409,ENSG00000116830,ENSG00000015475,ENSG00000188404,ENSG00000106459,ENSG00000169442,ENSG00000172183,ENSG00000204267,ENSG00000159110,ENSG00000184922,ENSG00000158050,ENSG00000100426,ENSG00000132109,ENSG00000143851,ENSG00000163219,ENSG00000182866,ENSG00000110324,ENSG00000122122,ENSG00000076662,ENSG00000168421,ENSG00000213402,ENSG00000111335,ENSG00000173757,ENSG00000206047,ENSG00000185811,ENSG00000100368,ENSG00000151651,ENSG00000104856,ENSG00000072818,ENSG00000081320,ENSG00000043462,ENSG00000082074,ENSG00000100385,ENSG00000124508,ENSG00000101109,ENSG00000169508,ENSG00000198851,ENSG00000145649,ENSG00000056558,ENSG00000198625,ENSG00000140379,ENSG00000185344,ENSG00000139626,ENSG00000168685,ENSG00000009790,ENSG00000256525,ENSG00000255819,ENSG00000116824,ENSG00000115232,ENSG00000104998,ENSG00000156127,ENSG00000066294,ENSG00000004455,ENSG00000162924,ENSG00000134242,ENSG00000206337,ENSG00000027075,ENSG00000139193,ENSG00000117090,ENSG00000141968,ENSG00000204516,ENSG00000104814,ENSG00000126353,ENSG00000105851,ENSG00000178562,ENSG00000155903,ENSG00000113088,ENSG00000111679,ENSG00000153283,ENSG00000067955,ENSG00000160654,ENSG00000120063,ENSG00000119392,ENSG00000160791,ENSG00000115607,ENSG00000164190,ENSG00000109854,ENSG00000119314,ENSG00000262418,ENSG00000163513,ENSG00000010539,ENSG00000227507,ENSG00000027869,ENSG00000128340,ENSG00000026950,ENSG00000077150,ENSG00000049249,ENSG00000174946,ENSG00000117505,ENSG00000064012,ENSG00000122188,ENSG00000079263,ENSG00000159023,ENSG00000134539,ENSG00000135899,ENSG00000139921,ENSG00000205534,ENSG00000160218,ENSG00000172175,ENSG00000141644,ENSG00000135535,ENSG00000260290,ENSG00000180370,ENSG00000136167,ENSG00000088205,ENSG00000175567,ENSG00000124151,ENSG00000102879,ENSG00000092531,ENSG00000121966,ENSG00000166847,ENSG00000109320,ENSG00000104365,ENSG00000120656,ENSG00000069974,ENSG00000125352,ENSG00000115165,ENSG00000229164,ENSG00000170542,ENSG00000123338,ENSG00000120802,ENSG00000110848,ENSG00000132356,ENSG00000172349,ENSG00000173039,ENSG00000261067,ENSG00000160679,ENSG00000137275,ENSG00000198821,ENSG00000164048,ENSG00000100650,ENSG00000107521,ENSG00000091592,ENSG00000183918,ENSG00000077984,ENSG00000110422,ENSG00000100453,ENSG00000235720,ENSG00000125245,ENSG00000033867,ENSG00000100450,ENSG00000122224,ENSG00000163600,ENSG00000136560,ENSG00000023445,ENSG00000204713,ENSG00000077809,ENSG00000071127,ENSG00000112739,ENSG00000140368,ENSG00000065357,ENSG00000141510,ENSG00000113263,ENSG00000137752,ENSG00000204632,ENSG00000149308,ENSG00000241553,ENSG00000185862,ENSG00000211772,ENSG00000087088,ENSG00000013725,ENSG00000055070,ENSG00000135829,ENSG00000173812,ENSG00000171456,ENSG00000132182,ENSG00000262473,ENSG00000162402,ENSG00000125354,ENSG00000101596,ENSG00000186470,ENSG00000166881,ENSG00000090060,ENSG00000176953,ENSG00000180448,ENSG00000134516,ENSG00000167005,ENSG00000169045,ENSG00000005844,ENSG00000171806,ENSG00000115687,ENSG00000167286,ENSG00000091527,ENSG00000255594,ENSG00000105374,ENSG00000005302,ENSG00000115085,ENSG00000173762,ENSG00000078304,ENSG00000103365,ENSG00000122218,ENSG00000111641,ENSG00000134954,ENSG00000140030,ENSG00000111796,ENSG00000078589,ENSG00000180644,ENSG00000136381,ENSG00000119638,ENSG00000095015,ENSG00000185404,ENSG00000112078,ENSG00000261023,ENSG00000128394,ENSG00000248333,ENSG00000125637,ENSG00000213063,ENSG00000211829,ENSG00000110031,ENSG00000026103,ENSG00000215467,ENSG00000196152,ENSG00000229700,ENSG00000248124,ENSG00000163519,ENSG00000157538,ENSG00000211788,ENSG00000135272,ENSG00000058804,ENSG00000259010,ENSG00000063244,ENSG00000146109,ENSG00000120685,ENSG00000136490,ENSG00000095485,ENSG00000005059,ENSG00000075884,ENSG00000089639,ENSG00000145287,ENSG00000151883,ENSG00000065615,ENSG00000026751,ENSG00000110934,ENSG00000166128,ENSG00000170340,ENSG00000262657,ENSG00000171310,ENSG00000126246,ENSG00000083828,ENSG00000042088,ENSG00000164308,ENSG00000066923,ENSG00000103522,ENSG00000077420,ENSG00000105879,ENSG00000105939,ENSG00000069493,ENSG00000155307,ENSG00000143924,ENSG00000160185,ENSG00000141506,ENSG00000254838,ENSG00000073861,ENSG00000205744,ENSG00000162777,ENSG00000189050,ENSG00000112182,ENSG00000023892,ENSG00000162894,ENSG00000169967,ENSG00000198858,ENSG00000170638,ENSG00000174606,ENSG00000083799,ENSG00000015285,ENSG00000058262,ENSG00000214132,ENSG00000197142,ENSG00000118579,ENSG00000175895,ENSG00000183161,ENSG00000173559,ENSG00000088930,ENSG00000093144,ENSG00000137770,ENSG00000197343,ENSG00000149781,ENSG00000136653,ENSG00000146386,ENSG00000171425,ENSG00000132603,ENSG00000163939,ENSG00000186222,ENSG00000198286,ENSG00000171488,ENSG00000138964,ENSG00000126264,ENSG00000197989,ENSG00000261796,ENSG00000072609,ENSG00000114861,ENSG00000112282,ENSG00000100503,ENSG00000205268,ENSG00000134602,ENSG00000115421,ENSG00000123329,ENSG00000159322,ENSG00000138041,ENSG00000160410,ENSG00000186469,ENSG00000109787,ENSG00000263276,ENSG00000197971,ENSG00000107099,ENSG00000172081,ENSG00000167258,ENSG00000106948,ENSG00000124541,ENSG00000173821,ENSG00000153551,ENSG00000186517,ENSG00000140853,ENSG00000244150,ENSG00000182500,ENSG00000170571,ENSG00000197629,ENSG00000161405,ENSG00000140511,ENSG00000167895,ENSG00000180096,ENSG00000133106,ENSG00000105639,ENSG00000028277,ENSG00000136286,ENSG00000127084,ENSG00000160593,ENSG00000172578,ENSG00000175463,ENSG00000179715,ENSG00000105483,ENSG00000105122,ENSG00000167208,ENSG00000234883,ENSG00000154451,ENSG00000182162,ENSG00000164691,ENSG00000089006,ENSG00000167604,ENSG00000153898,ENSG00000113532,ENSG00000110448,ENSG00000125772,ENSG00000185753,ENSG00000229474,ENSG00000067646,ENSG00000207567,ENSG00000122565,ENSG00000241609,ENSG00000163508,ENSG00000140471,ENSG00000106560,ENSG00000035681,ENSG00000101082,ENSG00000253522,ENSG00000127993,ENSG00000131503,ENSG00000092201,ENSG00000211714,ENSG00000162654,ENSG00000144401,ENSG00000162419,ENSG00000106952,ENSG00000065413,ENSG00000108599,ENSG00000186265,ENSG00000167984,ENSG00000164483,ENSG00000164674,ENSG00000165071,ENSG00000125347,ENSG00000181847,ENSG00000163564,ENSG00000256594,ENSG00000083223,ENSG00000100030,ENSG00000096996,ENSG00000162434,ENSG00000158985,ENSG00000143207,ENSG00000181896,ENSG00000153094,ENSG00000112079,ENSG00000231925,ENSG00000185591,ENSG00000134748,ENSG00000185728,ENSG00000173575,ENSG00000174485,ENSG00000048740,ENSG00000168944,ENSG00000116001,ENSG00000198160,ENSG00000198839,ENSG00000152601,ENSG00000239306,ENSG00000162775,ENSG00000117868,ENSG00000204261,ENSG00000156976,ENSG00000166750,ENSG00000138071,ENSG00000154781,ENSG00000172673,ENSG00000237161,ENSG00000178199,ENSG00000185905,ENSG00000257027,ENSG00000058063,ENSG00000123268;;
WIRTH_Sec. lymphoid organs;H.Tiss;Tissue SOM;ENSG00000142949,ENSG00000113140,ENSG00000148180,ENSG00000152583,ENSG00000116016,ENSG00000129116,ENSG00000129116,ENSG00000129116,ENSG00000149131,ENSG00000120129,ENSG00000101335,ENSG00000085733,ENSG00000087245,ENSG00000109472,ENSG00000109472,ENSG00000082781;;
WIRTH_Prim. lymphoid organs;H.Tiss;Tissue SOM;ENSG00000090013,ENSG00000186350,ENSG00000059804,ENSG00000100504,ENSG00000124107,ENSG00000149397,ENSG00000066926,ENSG00000066926,ENSG00000141401,ENSG00000091513,ENSG00000172331,ENSG00000119535,ENSG00000136842,ENSG00000136842,ENSG00000086548,ENSG00000005381;;
WIRTH_B-cells;H.Tiss;Tissue SOM;ENSG00000075624,ENSG00000125618,ENSG00000198077,ENSG00000108946,ENSG00000084207,ENSG00000173230,ENSG00000108639,ENSG00000141959,ENSG00000167770,ENSG00000008282,ENSG00000008282,ENSG00000180304,ENSG00000064666,ENSG00000071894,ENSG00000076554,ENSG00000076554;;
WIRTH_Tonsil;H.Tiss;Tissue SOM;ENSG00000142949,ENSG00000160213,ENSG00000115884,ENSG00000115884,ENSG00000186081,ENSG00000105388,ENSG00000184292,ENSG00000239754,ENSG00000089356,ENSG00000137699,ENSG00000143320,ENSG00000232222,ENSG00000237289,ENSG00000181885,ENSG00000166145,ENSG00000150165;;
WIRTH_Thymus;H.Tiss;Tissue SOM;ENSG00000138796,ENSG00000236654,ENSG00000213218,ENSG00000117528,ENSG00000166963,ENSG00000062038,ENSG00000182568,ENSG00000134909,ENSG00000213218,ENSG00000093009,ENSG00000048540,ENSG00000151914,ENSG00000135346,ENSG00000101868,ENSG00000121753,ENSG00000136425;;
WIRTH_Lymphocytes;H.Tiss;Tissue SOM;ENSG00000115415,ENSG00000115415,ENSG00000115415,ENSG00000057608,ENSG00000143621,ENSG00000109917,ENSG00000140105,ENSG00000167085,ENSG00000167085,ENSG00000189091,ENSG00000113013,ENSG00000128595,ENSG00000168906,ENSG00000198406,ENSG00000115758,ENSG00000100412;;
WIRTH_Bone marrow;H.Tiss;Tissue SOM;ENSG00000005381,ENSG00000005381,ENSG00000109743,ENSG00000170180,ENSG00000170180,ENSG00000160883,ENSG00000133742,ENSG00000169385,ENSG00000112077,ENSG00000173535,ENSG00000163737,ENSG00000130656,ENSG00000128322,ENSG00000124469,ENSG00000169397,ENSG00000197561;;
